Elem.	Mt	Ol	Ap	Cpx	Pig	Pl
La	0.24	0.008	8.2	0.11	0.024	0.18
Ce	0.22	0.008	9.6	0.15	0.026	0.14
Nd	0.23	0.008	10	0.3	0.039	0.1
Sm	0.24	0.009	10.2	0.52	0.06	0.072
Eu	0.22	0.009	6.9	0.5	0.051	0.4
Tb	0.27	0.011	10.9	0.67	0.13	0.058
Yb	0.28	0.017	6.4	0.65	0.29	0.04
Lu	0.27	0.02	5	0.64	0.34	0.035
Y	0.4	0.01	2.7	0.4	0.2	0.02
Ta	0.3	0.04	0.04	0.07	0.03	0.04
Th	0.3	0.02	5	0.02	0.03	0.02
U	0.1	0.01	4	0.03	0.01	0.03
Hf	0.4	0.03	0.06	0.3	0.04	0.03
Ba	0.2	0.01	0.05	0.05	0.03	0.4
Rb	0.09	0.05	0.04	0.02	0.02	0.1
Zr	0.3	0.04	0.3	0.2	0.08	0.07
Sr	0.08	0.01	0.06	0.2	0.03	2.5
Cr	69	2.4	0.04	6	11	0.06
Ni	15	14	0.04	5	8	0.06
Sc	1.5	0.3	0.05	4	2	0.04
Co	7	4	0.05	2	4	0.05
